A,B,T,dof,p-unc,p-corr
Head,Head_LeftHand,-2.2733,104.0,0.0251,0.376
Head,Head_LeftHand_RightHand,-2.2224,104.0,0.0284,0.3979
Head,Head_RightHand,-1.336,104.0,0.1845,1.0
Head,LeftHand,-0.3571,104.0,0.7218,1.0
Head,LeftHand_RightHand,-1.6085,104.0,0.1108,1.0
Head,RightHand,2.5342,104.0,0.0128,0.2042
Head_LeftHand,Head_LeftHand_RightHand,0.0,104.0,1.0,1.0
Head_LeftHand,Head_RightHand,0.9463,104.0,0.3462,1.0
Head_LeftHand,LeftHand,1.6576,104.0,0.1004,1.0
Head_LeftHand,LeftHand_RightHand,0.1916,104.0,0.8485,1.0
Head_LeftHand,RightHand,4.4034,104.0,0.0,0.0005
Head_LeftHand_RightHand,Head_RightHand,1.168,104.0,0.2455,1.0
Head_LeftHand_RightHand,LeftHand,1.7445,104.0,0.084,1.0
Head_LeftHand_RightHand,LeftHand_RightHand,0.2414,104.0,0.8097,1.0
Head_LeftHand_RightHand,RightHand,4.944,104.0,0.0,0.0001
Head_RightHand,LeftHand,0.564,104.0,0.574,1.0
Head_RightHand,LeftHand_RightHand,-0.7357,104.0,0.4636,1.0
Head_RightHand,RightHand,4.6904,104.0,0.0,0.0002
LeftHand,LeftHand_RightHand,-2.0166,104.0,0.0463,0.6021
LeftHand,RightHand,2.7973,104.0,0.0061,0.1044
LeftHand_RightHand,RightHand,5.0835,104.0,0.0,0.0
