combo,accuracy,mcc
RightHand_LeftHand_linear,0.9550425861401471,0.8317162643238782
Head_RightHand_LeftHand_linear_angular,0.940128205128205,0.6880948621142164
RightHand_LeftHand_linear_angular,0.925946632807098,0.6855402020296535
LeftHand_linear_angular,0.9034109809857318,0.6509160080894858
Head_RightHand_linear_angular,0.9125269775269775,0.6375370596425362
RightHand_LeftHand_angular,0.8979458933117469,0.612307131057217
Head_RightHand_linear,0.9062595182595181,0.6119031967730437
Head_RightHand_LeftHand_linear,0.9036749555354205,0.6033608759206135
Head_LeftHand_linear_angular,0.8634933973589435,0.5845298995788077
Head_RightHand_LeftHand_angular,0.8655436062320405,0.5303358914600386
RightHand_angular,0.836619615412719,0.4974568574901981
LeftHand_angular,0.823983238983239,0.4797872369063952
Head_LeftHand_angular,0.8070225163236024,0.4526147690298344
RightHand_linear_angular,0.8983126230494651,0.4318631110008713
Head_linear_angular,0.8355881320587202,0.43099322297689124
Head_angular,0.9132631812631813,0.4256987730374787
LeftHand_linear,0.8168894516826205,0.4226729891340277
Head_RightHand_angular,0.8359895104895104,0.4158858752971951
RightHand_linear,0.9056217039272237,0.3787684629641571
Head_LeftHand_linear,0.8786128149054978,0.3700615566230873
Head_linear,0.8635693447458154,0.3433706986784753
